City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Temiscaming,46.7212,-79.0971,65.71,55,100,4.61,CA,1627760273
Tambacounda,13.7539,-13.7586,84.25,74,40,4.61,SN,1627760273
Borup,55.4947,11.9758,62.51,94,75,12.66,DK,1627760273
Ahuimanu,21.4447,-157.8378,82.11,66,90,16.11,US,1627760274
Rio grande,-32.035,-52.0986,59.11,78,0,8.03,BR,1627760137
Manokwari,-0.8667,134.0833,77.61,82,76,3.51,ID,1627760150
Mahibadhoo,3.7833,72.9667,82.98,72,96,8.05,MV,1627760274
Anadyr,64.75,177.4833,43.3,75,40,5.99,RU,1627760152
Roma,43.2128,-75.4557,72.57,51,40,8.05,US,1627760275
Gualeguay,-33.1416,-59.3097,60.91,50,1,1.48,AR,1627760275
Mudgee,-32.5943,149.5871,52.79,93,75,6.91,AU,1627760275
Ibra,22.6906,58.5334,86.95,52,37,7.25,OM,1627760276
Kota belud,6.351,116.4305,78.66,73,14,4.47,MY,1627760276
Chara,56.9064,118.2631,50.29,79,58,2.48,RU,1627760276
Aklera,24.4167,76.5667,77.29,88,100,14.85,IN,1627760277
Tekkali,18.6167,84.2333,80.47,76,96,4.94,IN,1627760277
Taoudenni,22.6783,-3.9836,106.5,10,0,5.61,ML,1627760277
Sarangani,5.4033,125.4636,83.46,78,74,11.12,PH,1627760278
Vestmannaeyjar,63.4427,-20.2734,53.56,93,99,8.28,IS,1627760278
Cururupu,-1.8283,-44.8683,82.04,71,96,3.8,BR,1627760134
Kuressaare,58.2481,22.5039,63.95,87,3,1.01,EE,1627760278
Suihua,46.6406,126.9969,71.42,97,74,10.4,CN,1627760279
Pochutla,15.7432,-96.4661,92.82,53,16,8.9,MX,1627760279
Kashi,39.4547,75.9797,87.01,10,40,15.66,CN,1627760280
Trincomalee,8.5711,81.2335,80.94,77,62,20.24,LK,1627760280
Torbay,47.6666,-52.7314,69.89,75,75,19.57,CA,1627760223
Veraval,20.9,70.3667,81.52,84,100,23.11,IN,1627760280
Nouadhibou,20.931,-17.0347,71.58,83,12,20.71,MR,1627760211
Chitral,35.8462,71.7858,77.29,67,91,5.01,PK,1627760281
Krasnoselkup,65.7,82.4667,51.58,75,81,7.45,RU,1627760281
Karratha,-20.7377,116.8463,61.48,50,0,9.19,AU,1627760282
North battleford,52.7834,-108.2847,84.29,24,1,4.61,CA,1627759984
Serpa,37.9458,-7.5975,71.56,40,100,17.76,PT,1627760282
Arlit,18.7369,7.3853,87.67,44,100,24.36,NE,1627760282
Methoni,36.8197,21.7049,82.26,61,0,11.88,GR,1627760283
Heihe,50.2441,127.4902,54.18,99,100,3.78,CN,1627760283
Sao gabriel da cachoeira,-0.1303,-67.0892,78.6,69,75,4.61,BR,1627760143
Male,4.1748,73.5089,84.15,79,40,5.75,MV,1627760284
Bolgatanga,10.7856,-0.8514,72.86,97,100,3.89,GH,1627760284
Bodden town,19.2833,-81.25,89.98,71,20,8.01,KY,1627760007
Karpathos,35.507,27.2132,78.76,94,0,27.63,GR,1627760285
Schladming,47.3929,13.687,65.35,100,93,1.34,AT,1627760285
Porto velho,-8.7619,-63.9039,89.65,22,0,6.91,BR,1627760174
Australind,-33.2667,115.7167,50.05,69,92,29.93,AU,1627760285
Baykit,61.67,96.37,53.24,88,6,1.5,RU,1627760286
Nara,34.6851,135.8049,79.88,94,78,1.92,JP,1627760286
Kahului,20.8947,-156.47,83.97,70,20,21.85,US,1627760287
Rorvik,64.8621,11.2373,52.84,73,100,17.16,NO,1627760287
Buchanan,5.8808,-10.0467,73.36,86,86,9.78,LR,1627760288
Comodoro rivadavia,-45.8667,-67.5,51.66,24,0,16.11,AR,1627760288
Sanski most,44.7653,16.6656,81.88,55,0,4.18,BA,1627760045
Lumeje,-11.55,20.7833,62.44,30,0,6.49,AO,1627760288
Muros,42.7762,-9.0603,66.7,82,97,5.68,ES,1627760289
Belmonte,-15.8631,-38.8828,73.4,68,100,15.05,BR,1627760289
Virginia beach,36.8529,-75.978,84.42,72,90,13.8,US,1627760032
Soyo,-6.1349,12.3689,73.45,87,4,9.17,AO,1627760289
Priargunsk,50.3691,119.1012,55.17,85,97,11.03,RU,1627760290
Verkh-chebula,56.0308,87.6218,55.94,79,76,5.1,RU,1627760290
Santa cruz cabralia,-16.2781,-39.0247,71.83,64,75,10.36,BR,1627760290
Poso,-1.3959,120.7524,76.62,84,23,4.16,ID,1627760291
Chama,47.1821,8.4636,67.96,84,90,1.14,CH,1627760291
Naze,28.3667,129.4833,78.76,84,98,8.55,JP,1627760291
Chhuikhadan,21.5333,80.9833,76.33,85,100,8.72,IN,1627760292
Port said,31.2565,32.2841,82.38,23,0,5.75,EG,1627760072
Iskateley,67.6803,53.1512,56.37,79,100,8.41,RU,1627760292
Oliveira do hospital,40.3618,-7.8601,54.66,75,25,4.83,PT,1627760241
Banyo,6.75,11.8167,65.28,96,100,3.44,CM,1627760293
Januaria,-15.4833,-44.3667,79.38,40,82,9.62,BR,1627760293
Nelson bay,-32.7167,152.15,60.69,70,0,5.91,AU,1627760013
Soderhamn,61.3037,17.0592,57.97,89,100,2.55,SE,1627760294
Sekoma,-24.4,23.8833,51.93,44,0,8.93,BW,1627760294
Mahdasht,35.7299,50.8111,88.93,47,75,4.61,IR,1627760294
Marsabit,2.3284,37.9899,66.43,43,100,23.67,KE,1627760295
Shiyan,32.6475,110.7781,77.18,65,0,3.8,CN,1627760295
Neyshabur,36.2133,58.7958,74.44,17,0,2.01,IR,1627760295
Puerto penasco,31.3167,-113.5333,90.91,67,91,7.0,MX,1627760296
Chenzhou,25.8,113.0333,78.37,81,93,3.44,CN,1627760296
Alto paraguai,-14.5136,-56.4825,94.5,13,5,3.47,BR,1627760296
Jian,27.1172,114.9793,77.47,89,0,1.01,CN,1627760297
Preobrazheniye,42.9019,133.9064,72.72,93,96,13.89,RU,1627760297
Oranjemund,-28.55,16.4333,64.38,43,0,3.33,NA,1627760298
San alberto,7.7611,-73.3922,91.08,60,31,3.62,CO,1627760298
Nata,8.3333,-80.5167,89.47,62,99,9.51,PA,1627760298
Galle,6.0367,80.217,78.87,86,30,12.75,LK,1627760299
Auki,-8.7676,160.7034,76.3,88,100,7.2,SB,1627760299
Vinh,18.6667,105.6667,82.33,74,100,8.63,VN,1627760300
Makaha,21.4694,-158.2175,82.31,61,90,14.97,US,1627760300
Nikolayevsk-na-amure,53.1406,140.73,49.14,98,100,3.85,RU,1627760300
Moctezuma,29.8,-109.6667,92.66,33,4,4.34,MX,1627760301
Vila,42.0304,-8.1588,57.33,85,95,3.56,PT,1627760301
Burns lake,54.2331,-125.7533,78.22,25,0,5.53,CA,1627760301
Tawang,27.5833,91.8667,57.49,98,100,1.81,IN,1627760302
Derzhavinsk,51.1,66.3167,70.86,74,100,7.72,KZ,1627760302
Abu zabad,12.35,29.25,77.4,71,81,11.45,SD,1627760302
Delijan,33.9905,50.6838,84.2,23,70,8.77,IR,1627760303
Ishigaki,24.3448,124.1572,83.48,82,100,20.36,JP,1627760303
Marzuq,14.4,46.4667,77.58,65,9,6.06,YE,1627760303
Torit,4.4133,32.5678,71.46,88,100,2.55,SS,1627760304
Lavrentiya,65.5833,-171.0,43.39,86,100,8.03,RU,1627760304
Meadow lake,34.8014,-106.5436,92.84,26,30,8.34,US,1627760304
Bubaque,11.2833,-15.8333,77.5,90,100,18.3,GW,1627760245
Millville,39.4021,-75.0393,83.98,45,1,1.99,US,1627760305
Kingaroy,-26.5333,151.8333,51.84,100,90,0.0,AU,1627760305
Nieuwpoort,51.1244,2.7735,64.92,72,20,9.22,BE,1627760306
Tezu,27.9167,96.1667,76.3,99,97,1.86,IN,1627760306
Noumea,-22.2763,166.4572,69.01,99,51,13.06,NC,1627760127
Cacapava,-23.1008,-45.7069,68.25,59,62,4.76,BR,1627760306
Pala,9.3642,14.9046,70.11,94,100,4.45,TD,1627760307
Kainantu,-6.2887,145.8655,58.14,98,85,2.06,PG,1627760307
Chiang rai,19.9167,99.9167,76.12,100,20,2.3,TH,1627760308
Mamlyutka,54.9375,68.5394,63.23,79,100,2.08,KZ,1627760308
Port augusta,-32.5,137.7667,50.7,93,63,1.45,AU,1627760308
San rafael,-34.6177,-68.3301,58.3,38,8,6.53,AR,1627760309
Shyroke,47.6917,33.2571,76.24,43,67,6.49,UA,1627760309
Spornoye,50.8448,37.2913,78.82,54,1,1.81,RU,1627760309
Tokmak,47.2514,35.7058,74.82,56,0,5.64,UA,1627760310
Oktyabrskiy,54.4815,53.471,66.38,81,34,6.29,RU,1627760310
Zhongshu,24.5167,103.7667,63.66,97,100,4.14,CN,1627760310
Rome,34.257,-85.1647,92.8,64,20,5.75,US,1627760311
Makakilo city,21.3469,-158.0858,80.92,60,90,14.97,US,1627760311
Faya,18.3851,42.4509,64.51,84,100,8.55,SA,1627760311
Port hardy,50.6996,-127.4199,60.98,88,90,8.05,CA,1627760312
Kant,27.8,79.8,83.07,82,97,7.92,IN,1627760312
Geraldton,-28.7667,114.6,61.12,67,75,14.97,AU,1627760312
Patea,-39.7583,174.4833,37.67,93,100,3.49,NZ,1627760313
Tupelo,34.2576,-88.7034,97.09,53,1,3.0,US,1627760313
Sinnar,13.5691,33.5672,73.63,81,99,14.41,SD,1627760313
Newport,51.5877,-2.9984,63.86,83,21,9.37,GB,1627760314
Jimani,18.4917,-71.8502,96.69,42,26,13.02,DO,1627760314
Parga,39.2831,20.3964,87.78,59,0,2.86,GR,1627760315
Dublin,37.7021,-121.9358,90.82,46,1,1.01,US,1627760153
Mugur-aksy,50.35,90.5,46.18,82,100,5.59,RU,1627760315
Nabire,-3.3667,135.4833,74.93,91,89,3.42,ID,1627760270
Iraray,8.9936,118.0511,78.96,86,50,4.61,PH,1627760315
Camacha,33.0833,-16.3333,69.22,68,40,12.66,PT,1627760286
Edea,3.8,10.1333,78.58,96,92,2.48,CM,1627760316
Khani,41.9563,42.9566,65.77,94,68,1.1,GE,1627760316
Teluk nibung,3.001,99.8164,76.32,89,100,3.89,ID,1627760317
Pontianak,-0.0333,109.3333,76.98,94,19,1.14,ID,1627760317
Boralday,43.3578,76.8594,64.26,45,0,4.47,KZ,1627760317
Kapitanivka,48.9172,31.7167,72.54,58,0,3.11,UA,1627760318
Great falls,47.5002,-111.3008,95.92,25,1,3.0,US,1627759974
Ulladulla,-35.35,150.4667,58.1,62,2,6.76,AU,1627760318
Ust-ishim,57.6935,71.1665,52.84,94,6,1.81,RU,1627760318
Maningrida,-12.0667,134.2667,69.44,95,20,7.36,AU,1627760319
Haldibari,26.3333,88.7667,77.76,93,98,6.73,IN,1627760319
Tromso,69.6496,18.957,48.85,76,75,9.22,NO,1627760232
San quintin,30.4833,-115.95,78.24,63,2,13.69,MX,1627760319
Fort-shevchenko,44.5086,50.263,80.37,54,0,6.31,KZ,1627760270
Broome,42.2506,-75.833,73.62,56,20,3.0,US,1627760320
Tremembe,-22.9583,-45.5494,68.36,37,0,9.22,BR,1627760320
Mahajanga,-15.7167,46.3167,75.22,57,20,12.66,MG,1627760321
Durham,36.0335,-78.8664,94.1,55,75,5.75,US,1627760228
Lazaro cardenas,17.9583,-102.2,87.78,64,88,7.67,MX,1627760226
Dwarka,22.2394,68.9678,81.79,84,100,26.13,IN,1627760321
Bandar-e anzali,37.4727,49.4622,76.03,87,98,6.13,IR,1627760321
Srandakan,-7.9386,110.2506,76.8,84,89,10.96,ID,1627760322
Sinnamary,5.3833,-52.95,82.94,74,87,8.41,GF,1627760322
Harper,4.375,-7.7169,76.84,84,99,12.48,LR,1627760322
Chaah,2.249,103.048,75.34,93,100,0.58,MY,1627760323
Bara,10.3744,10.7288,76.62,81,99,5.84,NG,1627760323
Arman,59.7,150.1667,54.12,68,35,3.53,RU,1627760323
Pangnirtung,66.1451,-65.7125,51.8,76,75,13.8,CA,1627760324
Antofagasta,-23.65,-70.4,66.22,65,26,9.46,CL,1627760163
Vila velha,-20.3297,-40.2925,73.96,66,40,12.66,BR,1627760324
Cedar city,37.6775,-113.0619,84.4,38,40,4.61,US,1627760324
Zhezkazgan,47.8043,67.7144,77.29,19,0,2.28,KZ,1627760174
Santo antonio do leverger,-15.8656,-56.0767,89.98,15,43,3.06,BR,1627760325
San vicente,-26.6167,-54.1333,60.91,46,100,1.77,AR,1627760211
Longkou,37.6508,120.3286,73.69,82,100,7.09,CN,1627760325
Severomuysk,56.1481,113.4267,49.39,72,93,5.1,RU,1627760326
Huarmey,-10.0681,-78.1522,69.89,71,6,13.53,PE,1627760168
Corbu,44.3833,28.65,76.32,88,20,14.97,RO,1627760326
Manaure,11.7751,-72.4445,91.02,49,0,17.96,CO,1627760326
Barcelos,41.5388,-8.6151,67.91,77,58,8.95,PT,1627760327
Tessalit,20.1986,1.0114,94.78,27,31,16.67,ML,1627760246
Abha,18.2164,42.5053,64.22,94,20,6.91,SA,1627760327
Turukhansk,65.8167,87.9833,54.82,65,100,5.93,RU,1627760327
Paso de los toros,-32.8167,-56.5167,62.94,68,0,6.15,UY,1627760328
Mandera,3.9366,41.867,85.35,38,100,18.41,KE,1627760297
Chapais,49.7834,-74.8492,62.38,34,55,7.09,CA,1627760328
Rocha,-34.4833,-54.3333,54.63,70,3,4.38,UY,1627760329
Sao miguel,-5.4667,-35.3667,84.52,67,52,18.34,BR,1627760329
Fare,-16.7,-151.0167,77.59,62,100,16.62,PF,1627760320
Madison heights,42.4859,-83.1052,80.87,53,40,6.91,US,1627760150
Cairns,-16.9167,145.7667,67.06,96,38,1.14,AU,1627760329
Marondera,-18.1853,31.5519,45.23,93,7,4.63,ZW,1627760330
Saint-georges,12.0564,-61.7485,85.68,79,20,23.02,GD,1627760032
Sur,22.5667,59.5289,89.26,59,40,12.8,OM,1627760330
De haan,51.272,3.0429,64.38,77,20,4.0,BE,1627760330
Luderitz,-26.6481,15.1594,70.38,26,0,6.62,NA,1627760331
Vaitape,-16.5167,-151.75,77.86,63,96,16.42,PF,1627760331
Olga,43.7444,135.2892,69.48,98,100,9.26,RU,1627760331
Byron bay,-28.65,153.6167,60.75,86,5,11.45,AU,1627760332
Rubbestadneset,59.8147,5.2681,60.48,80,56,27.45,NO,1627760332
